Datetime;Open;High;Low;Close;Vol
1603908000000;79051,4;79079,4;79014,4;79018,4;8203
1603911600000;79019,2;79044,8;78995,09999999999;79013,7;8320
1603915200000;79013,5;79056,1;78997,9;79011;4110
1603918800000;78987,1;79006,8;78949,3;78949,3;913
1603922400000;78947,9;79057,2;78939,4;79048,79999999999;3085
1603926000000;79042,9;79045,5;78941,4;78991,7;3883
1603929600000;78991,9;79063,79999999999;78965,9;79048;9145
1603933200000;79048,4;79058,2;78942,9;78979,5;14090
1603936800000;78980,3;79012,3;78946,6;78948,6;10199
1603940400000;78949,3;78954,40000000001;78849,90000000001;78870,90000000001;10082
1603944000000;78871,2;78882,9;78827,4;78844,5;8143
1603947600000;78844,5;78861,6;78811,8;78848,6;10098
1603951200000;78848,6;78850,5;78793,70000000001;78816,20000000001;11313
1603954800000;78816,2;78830,59999999999;78686,3;78686,3;13728
1603958400000;78686,2;78749,4;78661,8;78692,5;14213
1603962000000;78692,4;78728,29999999999;78664,5;78688,4;11740
1603965600000;78690,9;78710,29999999999;78628,2;78645,9;13432
1603969200000;78642,9;78684,9;78611,29999999999;78627,2;12980
1603972800000;78627,8;78630,7;78472,90000000001;78538,3;15499
1603976400000;78539,7;78590,9;78428,9;78433,7;20632
1603980000000;78452,2;78515,3;78381,3;78418,2;17575
1603983600000;78418,1;78446,6;78326,90000000001;78342,20000000001;15700
1603987200000;78343,4;78345,5;78141,79999999999;78301,79999999999;5153
1603990800000;78301,7;78314;78144,8;78253,9;4293
1603994400000;78253,8;78334,40000000001;78225,1;78314;3321
1603998000000;78315,3;78326;78279,40000000001;78302,40000000001;3276
1604001600000;78299,7;78306,09999999999;78234,59999999999;78241,8;1331
1604005200000;78281,2;78300,59999999999;78242,4;78252,5;2003
1604008800000;78250,8;78315,2;78242,5;78291,2;3580
1604012400000;78286;78310,9;78269,8;78303,5;3228
1604016000000;78303,2;78304;78227,2;78245,5;9467
1604019600000;78245,5;78290,7;78164,9;78206,3;15936
1604023200000;78206,4;78219,59999999999;78162,79999999999;78206,5;12009
1604026800000;78206,4;78208,4;78082,5;78089,7;10252
1604030400000;78089,7;78094,2;78042,4;78076,5;7866
1604034000000;78076,6;78190,40000000001;78066;78082;13324
1604037600000;78081,4;78234,59999999999;78077,29999999999;78184,9;12876
1604041200000;78179,7;78264,59999999999;78143,9;78236,7;15504
1604044800000;78233,9;78261;78105;78139,09999999999;14958
1604048400000;78139,1;78151,40000000001;78068,5;78082;14894
1604052000000;78085,1;78111,20000000001;78043,8;78067,90000000001;11633
1604055600000;78065,1;78100;78009,3;78044,8;10999
1604059200000;78045,4;78181,5;78007,4;78165,79999999999;14161
1604062800000;78165,3;78201,40000000001;78059,7;78103,8;14180
1604066400000;78099,8;78145,90000000001;78084;78143,2;13199
1604070000000;78142,2;78231,3;77972,7;77980,9;17402
1604073600000;77982,6;78023,1;77940,90000000001;77979,40000000001;13963
1604077200000;77979,9;77999,5;77927,7;77997,7;9240
1604080800000;77995,7;77996,3;77934,5;77950,3;7835
1604084400000;77951,3;78014,40000000001;77933,7;77979;9138
1604088000000;77978,5;78003,6;77809,2;77809,2;5867
1604268000000;77889;77927;77850,4;77900,3;1040
1604271600000;77902,9;77951,09999999999;77880,29999999999;77937,7;4696
1604275200000;77937,7;78042,7;77913,4;77982,8;9468
1604278800000;77982,7;78001;77843,09999999999;77848;12723
1604282400000;77848,3;77883,8;77824,1;77864,2;11230
1604286000000;77862,9;77896,79999999999;77851,2;77853,9;9574
1604289600000;77853,8;77856,90000000001;77818,40000000001;77825,40000000001;6940
1604293200000;77825,5;77851,9;77807;77829,5;8650
1604296800000;77829,4;77919,29999999999;77826,29999999999;77909,9;9328
1604300400000;77908,6;77953;77876,70000000001;77876,70000000001;11941
1604304000000;77866,5;77946;77855,3;77898,4;12788
1604307600000;77894,7;77935,7;77833,59999999999;77844,5;11604
1604311200000;77848,2;77907,8;77825,3;77890,3;9905
1604314800000;77893,5;77972,1;77856,9;77949;8584
1604318400000;77949,3;77977,3;77885,90000000001;77887,40000000001;8491
1604322000000;77888,2;77921,7;77827,5;77828;10169
1604325600000;77823,6;77845,1;77796,6;77809,3;11113
1604329200000;77804,3;77864,8;77802,1;77857,1;7957
1604332800000;77857,6;77874,8;77817,20000000001;77817,20000000001;6345
1604336400000;77825,7;77846,4;77771;77778,59999999999;4792
1604340000000;77777;77778;77735;77754;4046
1604343600000;77754,5;77781,5;77744,9;77775,4;3539
1604347200000;77776,8;77846,6;77767,6;77820,8;4310
1604350800000;77821,3;77844,1;77810,2;77839,5;1847
1604354400000;77789,1;77829,6;77762,1;77827,90000000001;436
1604358000000;77836,7;77861,2;77800,5;77838,59999999999;10166
1604361600000;77838,6;77875,90000000001;77814,5;77843,40000000001;4384
1604365200000;77843,8;77869,40000000001;77805,3;77858,3;6802
1604368800000;77858,8;77910,1;77841,40000000001;77908;6341
1604372400000;77907,8;77961,5;77898,6;77937,40000000001;4294
1604376000000;77937,5;77960,5;77905,8;77913,1;2307
1604379600000;77921,2;77954,7;77889,8;77932,09999999999;4919
1604383200000;77931,8;78017,7;77924,6;78001,5;5302
1604386800000;78002,1;78092;77971,90000000001;78083,40000000001;8336
1604390400000;78086;78150;78048,6;78119,1;10024
1604394000000;78118,8;78138,2;78072;78114,40000000001;9027
1604397600000;78113,8;78194,3;78098,40000000001;78178,3;6836
1604401200000;78190,7;78274,09999999999;78158,09999999999;78182,2;7563
1604404800000;78183,8;78220,40000000001;78152,1;78163,3;7961
1604408400000;78164,8;78240,6;78160,7;78211,40000000001;8160
1604412000000;78210,7;78258,5;78157,9;78228,8;8194
1604415600000;78229;78363,7;78220,4;78343,2;9171
1604419200000;78345,6;78378,20000000001;78303,8;78309,90000000001;6350
1604422800000;78308,1;78350,90000000001;78226,70000000001;78235,5;4245
1604426400000;78235,5;78249;78184,3;78212,4;3319
1604430000000;78213,1;78315,90000000001;78208,1;78311,3;2887
1604433600000;78310,4;78315,79999999999;78222,09999999999;78246,79999999999;2771
1604437200000;78245,3;78325,1;78137,7;78246,90000000001;3880
1604440800000;78165,7;78225,9;78151,7;78225,9;275
1604444400000;78225,9;78331,9;78143,7;78326,2;6282
1604448000000;78330,6;78492,1;78138,70000000001;78437,8;20578
1604451600000;78439,2;78570,9;78289;78343,8;7454
1604455200000;78346,5;78659,3;78248,3;78406,3;9480
1604458800000;78412,3;78438,90000000001;78118,1;78393,1;8225
1604462400000;78393;78435,1;78143,9;78254,8;7670
1604466000000;78257;78303,1;78029,7;78260;7816
1604469600000;78243,2;78338;78073,8;78159;7139
1604473200000;78158,9;78421,2;78118;78391,29999999999;8614
1604476800000;78362,4;78643;78338,79999999999;78518,5;8030
1604480400000;78513,4;78653,79999999999;78429,09999999999;78457,29999999999;6757
1604484000000;78437,7;78518,2;78203,4;78252,7;5874
1604487600000;78251;78358,1;78155,3;78207,8;6227
1604491200000;78201,2;78206,4;77910;77970,9;8042
1604494800000;77986,1;78132,1;77928;77955,70000000001;6002
1604498400000;77953,6;77973,1;77840;77909,3;6510
